,word,pos,dependency_label,id,parent,EOS,kept
0,when,WRB,mark,0,3,0,0
1,an,DT,det,1,2,0,0
2,invoice,NN,nsubj,2,3,0,1
3,arrives,VBZ,advcl,3,7,0,0
4,it,PRP,nsubj:pass,5,7,0,0
5,is,VBZ,aux:pass,6,7,0,1
6,checked,VBN,root,7,-1,0,1
7,whether,IN,mark,8,11,0,1
8,it,PRP,nsubj,9,11,0,1
9,is,VBZ,cop,10,11,0,1
10,available,JJ,ccomp,11,7,0,0
11,electronically,RB,advmod,12,11,0,1
12,or,CC,cc,13,15,0,1
13,in,IN,case,14,15,0,1
14,writing,NN,conj,15,12,0,1
15,<EOS>,.,punct,16,7,1,1
16,an,DT,det,0,2,0,0
17,electronic,JJ,amod,1,2,0,0
18,invoice,NN,nsubj:pass,2,4,0,1
19,is,VBZ,aux:pass,3,4,0,1
20,transferred,VBN,root,4,-1,0,1
21,directly,RB,advmod,5,4,0,0
22,into,IN,case,6,8,0,1
23,the,DT,det,7,8,0,1
24,system,NN,obl,8,4,0,1
25,whereas,IN,mark,10,17,0,0
26,a,DT,det,11,13,0,0
27,written,VBN,amod,12,13,0,0
28,invoice,NN,nsubj:pass,13,17,0,1
29,must,MD,aux,14,17,0,1
30,first,RB,advmod,15,17,0,0
31,be,VB,aux:pass,16,17,0,1
32,entered,VBN,advcl,17,4,0,1
33,<EOS>,.,punct,18,4,1,1
34,after,IN,case,0,1,0,0
35,entry,NN,obl,1,8,0,0
36,the,DT,det,3,5,0,0
37,open,JJ,amod,4,5,0,1
38,items,NNS,nsubj:pass,5,8,0,1
39,must,MD,aux,6,8,0,1
40,be,VB,aux:pass,7,8,0,1
41,posted,VBN,root,8,-1,0,1
42,with,IN,case,9,12,0,1
43,the,DT,det,10,12,0,1
44,blocking,NN,compound,11,12,0,1
45,indicator,NN,obl,12,8,0,1
46,<EOS>,.,punct,13,8,1,1
47,then,RB,advmod,0,8,0,0
48,the,DT,det,1,2,0,0
49,calculation,NN,nsubj,2,8,0,1
50,of,IN,case,3,7,0,1
51,the,DT,det,4,7,0,1
52,input,NN,compound,5,7,0,1
53,tax,NN,compound,6,7,0,1
54,deduction,NN,nmod,7,2,0,1
55,takes,VBZ,root,8,-1,0,1
56,place,NN,obj,9,8,0,1
57,<EOS>,.,punct,10,8,1,1
58,the,DT,det,0,1,0,0
59,system,NN,nsubj,1,3,0,0
60,now,RB,advmod,2,3,0,0
61,checks,VBZ,root,3,-1,0,1
62,the,DT,det,4,7,0,1
63,incoming,JJ,amod,5,7,0,1
64,payment,NN,compound,6,7,0,1
65,type,NN,obj,7,3,0,1
66,<EOS>,.,punct,8,3,1,1
67,here,RB,root,0,-1,0,0
68,the,DT,det,1,2,0,0
69,invoice,NN,nsubj,2,-10,0,1
70,is,VBZ,cop,3,-10,0,1
71,to,TO,mark,4,6,0,1
72,be,VB,aux:pass,5,6,0,1
73,released,VBN,advcl,6,-10,0,1
74,already,RB,advmod,7,8,0,0
75,before,RB,advmod,8,6,0,0
76,<EOS>,.,punct,9,-10,1,1
